COD_INCIDENCIA,NUM_INTERVENCION,ORDEN_SERVICIO,NUMERO_PEDIDO,COD_TIPO,TIPO,COD_SINTOMA,SINTOMA,COD_DEPARTAMENTO,DEPARTAMENTO,COD_ESTADO,ESTADO,COD_PRIORIDAD,PRIORIDAD,ES_CITA,FECHA_INCIDENCIA,FECHA_ASIGNACION,HORA_ASIGNACION,FECHA_FIN_ASIG,HORA_FIN_ASIGNACION,FECHA_FINALIZACION,COD_CLIENTE,CLIENTE,CIF,COD_AGENTE,NOMBRE_AGENTE,COD_SEDE,SEDE,DIRECCION_SEDE,LOCALIDAD_SEDE,CP_SEDE,PROVINCIA_SEDE,COD_RESPONSABLE,RESPONSABLE,COD_TECNICO,NOMBRE_TECNICO,CODIGOS_PERSONAL,NOMBRES_PERSONAL,TIPO_MANTENIMIENTO,VINCULADO_OBRA,VINCULADO_MANTENIMIENTO,AREALIZAR,NOTAS_INTERNAS,NOTAS_AVISO,A_REALIZAR,REALIZADO,REQ_INFORME,OBS_INFORME,REQ_PRESUPUESTO,OBS_PRESUPUESTO,DURACION_PLANIFICADA
13027,2026-04991,PTE,,2,Accion Correctiva,0,,5,SAT MALAGA,2,Asignado,3,No Urgente,NO,2026-03-06T08:20:00,2026-03-06,01:00,2026-03-06,02:00,,591,"MODA SUR, S.A.",ESX11000001,130,ADM-CARMEN LOPEZ FERNANDEZ,2333,101 FUE-AVENIDA DEL SOL,AVDA. DEL SOL 15,"FUENGIROLA,",29640,Málaga,161,OFT-DAVID SANCHEZ ORTEGA,106,MAL-MIGUEL FERNANDEZ SOTO,,,,NO,NO,Retirada evaporativos,,,Retirada evaporativos,,NO,,NO,,02:00
13026,2026-04990,S/25/99001,,12,Obra,0,,10,Departamento de Ingeniería,1,Sin Asignar,3,No Urgente,NO,2026-03-05T14:39:00,,00:00,,00:00,,438,BRISA SPORT SA,ESX11000002,130,ADM-CARMEN LOPEZ FERNANDEZ,2574,201 MARB-EL PINAR,"C/ DE LOS PINOS 8,",MARBELLA,29600,Málaga,151,ING-FRANCISCO PAREJO LUNA,126,MAL-CARLOS NAVARRO RIOS,,,,SI,NO,S/25/99001 - Mejora en la enfriadora Brisa 2283 MARB-ELPINAR - BRISA SPORT SA,,,S/25/99001 - Mejora en la enfriadora Brisa 2283 MARB-ELPINAR - BRISA SPORT SA,,NO,,NO,,00:00
13025,2026-04989,pte,,2,Accion Correctiva,0,,16,SAT SEVILLA/HUELVA,2,Asignado,3,No Urgente,NO,2026-03-05T14:32:00,2026-03-05,12:00,2026-03-05,14:00,,591,"MODA SUR, S.A.",ESX11000001,152,ADM-RAFAEL MORALES JIMENEZ,2328,301 CC ALAMEDA DOS HERMANAS,C/ INDUSTRIA 22,DOS HERMANAS,41703,Sevilla,147,OFT-PABLO HERRERA MOLINA,164,SEV-MARCOS GUTIERREZ CANO,,,,NO,NO,comprobando con servicio técnico maquinas y para cambiar placas que según código de herror   nos indican que están malas,,,comprobando con servicio técnico maquinas y para cambiar placas que según código de herror   nos indican que están malas,se. acude a tienda con servicio técnico y se verifica que son las 2placas la de la u1 y lau 2 se prepara otra visita puesto el servicio técnico no trae  dicho repuesto solo trae una placa   cuando nos hacen falta dos ,NO,,NO,,00:00
13024,2026-04988,S/26/99002,,12,Obra,0,,10,Departamento de Ingeniería,1,Sin Asignar,3,No Urgente,NO,2026-03-05T14:29:00,,00:00,,00:00,,16,ENERGIA PACIFICO SA,ESX11000006,152,ADM-RAFAEL MORALES JIMENEZ,2106,CTCC LA ROCA,"POL. IND. LA VEGA, S/N - PARCELA 3",SAN ROQUE,11360,Cádiz,151,ING-FRANCISCO PAREJO LUNA,182,CAD-FERNANDO MARQUEZ PENA,,,,SI,NO,S/26/99002 - RoofTop SALA ELÉCTRICA sust 3 equipos - ENERGIA PACIFICO SA,,,S/26/99002 - RoofTop SALA ELÉCTRICA sust 3 equipos - ENERGIA PACIFICO SA,,NO,,NO,,00:00
13023,2026-04987,90000001,,2,Accion Correctiva,0,,5,SAT MALAGA,5,Finalizado,3,No Urgente,NO,2026-03-05T13:19:00,2026-03-05,00:00,2026-03-05,01:00,2026-03-05T15:49:29,591,"MODA SUR, S.A.",ESX11000001,130,ADM-CARMEN LOPEZ FERNANDEZ,2325,202 MARB-EL PINAR,C/ LOS PINOS,MARBELLA,29600,Málaga,133,OFT-SERGIO TORRES REYES,105,MAL-JORGE MENDEZ PRIETO,,,,NO,NO,WR000900001 Hay un fuerte olor a tuberiaa en la zona de probador. El olor sale por el aire acondicionado.,,,WR000900001 Hay un fuerte olor a tuberiaa en la zona de probador. El olor sale por el aire acondicionado.,"se revisa maquina de probadores y los olores no son del equipo. 
se habla con encargada y me comenta que es algo q suele pasar al llover, posible bajante del centro comercial o de la tienda que está situada encima del moda sur.
se le comenta a la encargada que llame a servicios generales ",NO,,NO,,00:00
13022,2026-04986,,,2,Accion Correctiva,0,,13,SAT GRANADA,99,Anulado,3,No Urgente,NO,2026-03-05T12:06:00,,00:00,,00:00,,591,"MODA SUR, S.A.",ESX11000001,162,ALM-ANDRES RIVAS TRUJILLO,2369,701 GRA-CC CENTRO,C/ MAYOR 10-12,GRANADA,18002,Granada,161,OFT-DAVID SANCHEZ ORTEGA,,,2,SAT,,NO,NO,"ECO900001 Problemas con las sonda de temperatura de impulsión del equipo COR-04.11.Las sondas de Temperatura de impulsión aire en el equipo  COR-04.11 siguen registrando valores inválidos de manera frecuente, se dan picos de 3280ºC.",,,"ECO900001 Problemas con las sonda de temperatura de impulsión del equipo COR-04.11.Las sondas de Temperatura de impulsión aire en el equipo  COR-04.11 siguen registrando valores inválidos de manera frecuente, se dan picos de 3280ºC.",,NO,,NO,,00:00
13021,2026-04985,90000002,,2,Accion Correctiva,0,,16,SAT SEVILLA/HUELVA,5,Finalizado,3,No Urgente,NO,2026-03-05T11:54:00,2026-03-05,04:00,2026-03-05,06:00,2026-03-05T16:54:57,591,"MODA SUR, S.A.",ESX11000001,152,ADM-RAFAEL MORALES JIMENEZ,2348,302 SEV-AVENIDA REAL,"C/ REAL 18, 41010 SEVILLA",SEVILLA,41010,Sevilla,147,OFT-PABLO HERRERA MOLINA,164,SEV-MARCOS GUTIERREZ CANO,,,,NO,NO,Se quejan los clientes de mucha calor en la tienda,,,Se quejan los clientes de mucha calor en la tienda,se acude a tienda  observación que los aires están parados no subimos a la azotea y observamos circuito de agua. vaciado y alarma de  flujo de agua bajo  procedemos a su llenado y poner maquina en marcha . comprobamos circuito a nivel  y tienda  funcionando correcto . se procede tras sus correspondientes pruebas cerrar parte,NO,,NO,,00:00
13020,2026-04984,90000004,,2,Accion Correctiva,0,,14,SAT JAEN/CORDOBA,5,Finalizado,3,No Urgente,NO,2026-03-05T11:36:00,2026-03-05,14:00,2026-03-05,15:00,2026-03-06T08:45:17,464,COSTA JOVEN ESPAÑA S.A.,ESX11000004,130,ADM-CARMEN LOPEZ FERNANDEZ,2413,501 CORD-CC EL OLIVO,C/ DE LAS FLORES 5,CÓRDOBA,14011,Córdoba,147,OFT-PABLO HERRERA MOLINA,146,COR-PEDRO IGLESIAS MONTES,,,,NO,NO,"WR000900004 Desde el martes, el ruido del aire se ha intensificado tanto en tienda como en almacen",,,"WR000900004 Desde el martes, el ruido del aire se ha intensificado tanto en tienda como en almacen",se mide el sonido y da 72.7 db. hace meses daba 69. unos tres db menos. el ruido que hace es del viento al chocar en la curva del conducto. se mirará donde se puede mejorar para bajar el ruido.,NO,,NO,,00:00
13019,2026-04983,PTE,,2,Accion Correctiva,0,,11,SAT CADIZ,4,Pendiente,3,No Urgente,NO,2026-03-05T09:29:00,2026-03-05,01:00,2026-03-05,02:00,,591,"MODA SUR, S.A.",ESX11000001,152,ADM-RAFAEL MORALES JIMENEZ,2316,401 ALGEC-CC MERIDIANO,"AVDA. DE LA PALMA, AUTOVIA A7, SALIDA - 106",ALGECIRAS,11203,Cádiz,147,OFT-PABLO HERRERA MOLINA,182,CAD-FERNANDO MARQUEZ PENA,,,,NO,NO,"diagnosis de avería de 3 unid de Roof-tops Caballeros, Señoras y Niños",,,"diagnosis de avería de 3 unid de Roof-tops Caballeros, Señoras y Niños","Diagnosis de avería en equipos Roof-top 01, 02 y 03, de zonas de ventas Señoras, Caballeros y Niños, con alarmas en plc",NO,,NO,,00:00
13018,2026-04982,90000006,,2,Accion Correctiva,0,,16,SAT SEVILLA/HUELVA,555,No facturar,3,No Urgente,NO,2026-03-05T08:33:00,2026-03-05,01:00,2026-03-05,02:00,2026-03-05T08:43:13,100,NOVA URBAN ESPAÑA SA,ESX11000003,152,ADM-RAFAEL MORALES JIMENEZ,2544,304 SEV-CC EL MIRADOR,"CC EL MIRADOR, AVDA. PRINCIPAL S/N",SEVILLA,41007,Sevilla,147,OFT-PABLO HERRERA MOLINA,164,SEV-MARCOS GUTIERREZ CANO,,,,NO,NO,"Nº Pedido 90000006 WR000900003 Hace mucho frio, necesitamos que nos regulen la temperatura
 ",,,"Nº Pedido 90000006 WR000900003 Hace mucho frio, necesitamos que nos regulen la temperatura
 ",solucionado por telefono se llama a tienda y se llama a ClimaControl se le sube a 22 'c la tienda y se verifica que este en rrango,NO,,NO,,00:00
13016,2026-04981,,,4,Mantenimiento Preventivo,0,,0,,999,Preasignada,3,No Urgente,NO,2026-03-04T20:55:38,2026-12-01,,2026-12-01,,,100,NOVA URBAN ESPAÑA SA,ESX11000003,130,ADM-CARMEN LOPEZ FERNANDEZ,2553,102 FUE-CC LA MARINA,"AVDA. MARITIMA S/N, 29640 FUENGIROLA, MÁLAGA",FUENGIROLA,29640,Málaga,189,ADM-ELENA ROMERO DIAZ,126,MAL-CARLOS NAVARRO RIOS,0,,MENSUAL,NO,SI,"MENSUAL - Es indispensable que siempre que se realice un mantenimiento, cumplir con todos los pasos obligatorios. 
Cada protocolo debe de estar cumplimentado al 100x100 acompañado de reporte fotográfico y su firma obligatoria sin excepción por parte del cliente.",,,"MENSUAL - Es indispensable que siempre que se realice un mantenimiento, cumplir con todos los pasos obligatorios. 
Cada protocolo debe de estar cumplimentado al 100x100 acompañado de reporte fotográfico y su firma obligatoria sin excepción por parte del cliente.",,NO,,NO,,02:00
13015,2026-04980,,,4,Mantenimiento Preventivo,0,,0,,999,Preasignada,3,No Urgente,NO,2026-03-04T20:55:13,2026-11-02,,2026-11-02,,,100,NOVA URBAN ESPAÑA SA,ESX11000003,130,ADM-CARMEN LOPEZ FERNANDEZ,2553,102 FUE-CC LA MARINA,"AVDA. MARITIMA S/N, 29640 FUENGIROLA, MÁLAGA",FUENGIROLA,29640,Málaga,189,ADM-ELENA ROMERO DIAZ,126,MAL-CARLOS NAVARRO RIOS,0,,MENSUAL,NO,SI,"ANUAL - Es indispensable que siempre que se realice un mantenimiento, cumplir con todos los pasos obligatorios. 
Cada protocolo debe de estar cumplimentado al 100x100 acompañado de reporte fotográfico y su firma obligatoria sin excepción por parte del cliente.",,,"ANUAL - Es indispensable que siempre que se realice un mantenimiento, cumplir con todos los pasos obligatorios. 
Cada protocolo debe de estar cumplimentado al 100x100 acompañado de reporte fotográfico y su firma obligatoria sin excepción por parte del cliente.",,NO,,NO,,02:00
13014,2026-04979,,,4,Mantenimiento Preventivo,0,,0,,999,Preasignada,3,No Urgente,NO,2026-03-04T20:54:42,2026-10-01,,2026-10-01,,,100,NOVA URBAN ESPAÑA SA,ESX11000003,130,ADM-CARMEN LOPEZ FERNANDEZ,2553,102 FUE-CC LA MARINA,"AVDA. MARITIMA S/N, 29640 FUENGIROLA, MÁLAGA",FUENGIROLA,29640,Málaga,189,ADM-ELENA ROMERO DIAZ,126,MAL-CARLOS NAVARRO RIOS,0,,MENSUAL,NO,SI,"MENSUAL - Es indispensable que siempre que se realice un mantenimiento, cumplir con todos los pasos obligatorios. 
Cada protocolo debe de estar cumplimentado al 100x100 acompañado de reporte fotográfico y su firma obligatoria sin excepción por parte del cliente.",,,"MENSUAL - Es indispensable que siempre que se realice un mantenimiento, cumplir con todos los pasos obligatorios. 
Cada protocolo debe de estar cumplimentado al 100x100 acompañado de reporte fotográfico y su firma obligatoria sin excepción por parte del cliente.",,NO,,NO,,02:00
13013,2026-04978,,,4,Mantenimiento Preventivo,0,,0,,999,Preasignada,3,No Urgente,NO,2026-03-04T20:49:38,2026-09-01,,2026-09-01,,,100,NOVA URBAN ESPAÑA SA,ESX11000003,130,ADM-CARMEN LOPEZ FERNANDEZ,2553,102 FUE-CC LA MARINA,"AVDA. MARITIMA S/N, 29640 FUENGIROLA, MÁLAGA",FUENGIROLA,29640,Málaga,189,ADM-ELENA ROMERO DIAZ,126,MAL-CARLOS NAVARRO RIOS,0,,MENSUAL,NO,SI,"MENSUAL - Es indispensable que siempre que se realice un mantenimiento, cumplir con todos los pasos obligatorios. 
Cada protocolo debe de estar cumplimentado al 100x100 acompañado de reporte fotográfico y su firma obligatoria sin excepción por parte del cliente.",,,"MENSUAL - Es indispensable que siempre que se realice un mantenimiento, cumplir con todos los pasos obligatorios. 
Cada protocolo debe de estar cumplimentado al 100x100 acompañado de reporte fotográfico y su firma obligatoria sin excepción por parte del cliente.",,NO,,NO,,02:00
13012,2026-04977,,,4,Mantenimiento Preventivo,0,,0,,999,Preasignada,3,No Urgente,NO,2026-03-04T20:48:41,2026-08-03,,2026-08-03,,,100,NOVA URBAN ESPAÑA SA,ESX11000003,130,ADM-CARMEN LOPEZ FERNANDEZ,2553,102 FUE-CC LA MARINA,"AVDA. MARITIMA S/N, 29640 FUENGIROLA, MÁLAGA",FUENGIROLA,29640,Málaga,189,ADM-ELENA ROMERO DIAZ,126,MAL-CARLOS NAVARRO RIOS,0,,MENSUAL,NO,SI,"TRIMESTRAL - Es indispensable que siempre que se realice un mantenimiento, cumplir con todos los pasos obligatorios. 
Cada protocolo debe de estar cumplimentado al 100x100 acompañado de reporte fotográfico y su firma obligatoria sin excepción por parte del cliente.",,,"TRIMESTRAL - Es indispensable que siempre que se realice un mantenimiento, cumplir con todos los pasos obligatorios. 
Cada protocolo debe de estar cumplimentado al 100x100 acompañado de reporte fotográfico y su firma obligatoria sin excepción por parte del cliente.",,NO,,NO,,02:00
13011,2026-04976,,,4,Mantenimiento Preventivo,0,,0,,999,Preasignada,3,No Urgente,NO,2026-03-04T20:45:48,2026-07-01,,2026-07-01,,,100,NOVA URBAN ESPAÑA SA,ESX11000003,130,ADM-CARMEN LOPEZ FERNANDEZ,2553,102 FUE-CC LA MARINA,"AVDA. MARITIMA S/N, 29640 FUENGIROLA, MÁLAGA",FUENGIROLA,29640,Málaga,189,ADM-ELENA ROMERO DIAZ,126,MAL-CARLOS NAVARRO RIOS,0,,MENSUAL,NO,SI,"MENSUAL - Es indispensable que siempre que se realice un mantenimiento, cumplir con todos los pasos obligatorios. 
Cada protocolo debe de estar cumplimentado al 100x100 acompañado de reporte fotográfico y su firma obligatoria sin excepción por parte del cliente.",,,"MENSUAL - Es indispensable que siempre que se realice un mantenimiento, cumplir con todos los pasos obligatorios. 
Cada protocolo debe de estar cumplimentado al 100x100 acompañado de reporte fotográfico y su firma obligatoria sin excepción por parte del cliente.",,NO,,NO,,02:00
13010,2026-04975,,,4,Mantenimiento Preventivo,0,,0,,999,Preasignada,3,No Urgente,NO,2026-03-04T20:45:29,2026-06-01,,2026-06-01,,,100,NOVA URBAN ESPAÑA SA,ESX11000003,130,ADM-CARMEN LOPEZ FERNANDEZ,2553,102 FUE-CC LA MARINA,"AVDA. MARITIMA S/N, 29640 FUENGIROLA, MÁLAGA",FUENGIROLA,29640,Málaga,189,ADM-ELENA ROMERO DIAZ,126,MAL-CARLOS NAVARRO RIOS,0,,MENSUAL,NO,SI,"MENSUAL - Es indispensable que siempre que se realice un mantenimiento, cumplir con todos los pasos obligatorios. 
Cada protocolo debe de estar cumplimentado al 100x100 acompañado de reporte fotográfico y su firma obligatoria sin excepción por parte del cliente.",,,"MENSUAL - Es indispensable que siempre que se realice un mantenimiento, cumplir con todos los pasos obligatorios. 
Cada protocolo debe de estar cumplimentado al 100x100 acompañado de reporte fotográfico y su firma obligatoria sin excepción por parte del cliente.",,NO,,NO,,02:00
13009,2026-04974,,,4,Mantenimiento Preventivo,0,,0,,999,Preasignada,3,No Urgente,NO,2026-03-04T20:45:06,2026-05-01,,2026-05-01,,,100,NOVA URBAN ESPAÑA SA,ESX11000003,130,ADM-CARMEN LOPEZ FERNANDEZ,2553,102 FUE-CC LA MARINA,"AVDA. MARITIMA S/N, 29640 FUENGIROLA, MÁLAGA",FUENGIROLA,29640,Málaga,189,ADM-ELENA ROMERO DIAZ,126,MAL-CARLOS NAVARRO RIOS,0,,MENSUAL,NO,SI,"SEMESTRAL - Es indispensable que siempre que se realice un mantenimiento, cumplir con todos los pasos obligatorios. 
Cada protocolo debe de estar cumplimentado al 100x100 acompañado de reporte fotográfico y su firma obligatoria sin excepción por parte del cliente.",,,"SEMESTRAL - Es indispensable que siempre que se realice un mantenimiento, cumplir con todos los pasos obligatorios. 
Cada protocolo debe de estar cumplimentado al 100x100 acompañado de reporte fotográfico y su firma obligatoria sin excepción por parte del cliente.",,NO,,NO,,02:00
13008,2026-04973,,,4,Mantenimiento Preventivo,0,,0,,999,Preasignada,3,No Urgente,NO,2026-03-04T20:44:33,2026-04-01,,2026-04-01,,,100,NOVA URBAN ESPAÑA SA,ESX11000003,130,ADM-CARMEN LOPEZ FERNANDEZ,2553,102 FUE-CC LA MARINA,"AVDA. MARITIMA S/N, 29640 FUENGIROLA, MÁLAGA",FUENGIROLA,29640,Málaga,189,ADM-ELENA ROMERO DIAZ,126,MAL-CARLOS NAVARRO RIOS,0,,MENSUAL,NO,SI,"MENSUAL - Es indispensable que siempre que se realice un mantenimiento, cumplir con todos los pasos obligatorios. 
Cada protocolo debe de estar cumplimentado al 100x100 acompañado de reporte fotográfico y su firma obligatoria sin excepción por parte del cliente.",,,"MENSUAL - Es indispensable que siempre que se realice un mantenimiento, cumplir con todos los pasos obligatorios. 
Cada protocolo debe de estar cumplimentado al 100x100 acompañado de reporte fotográfico y su firma obligatoria sin excepción por parte del cliente.",,NO,,NO,,02:00
13007,2026-04972,90000003,,2,Accion Correctiva,0,,0,,555,No facturar,3,No Urgente,NO,2026-03-04T20:15:00,2026-03-04,20:15,2026-03-04,21:15,2026-03-04T20:20:04,591,"MODA SUR, S.A.",ESX11000001,152,ADM-RAFAEL MORALES JIMENEZ,2378,303 SEV-PLAZA NUEVA,PLAZA CENTRAL 12,SEVILLA,41002,Sevilla,164,SEV-MARCOS GUTIERREZ CANO,164,SEV-MARCOS GUTIERREZ CANO,,,,NO,NO,Nº Pedido 90000003 INC000090001 WR000900002 Mucha calor en la zona de probadores ,,,Nº Pedido 90000003 INC000090001 WR000900002 Mucha calor en la zona de probadores ,solucionado por telefono,NO,,NO,,00:00
13006,2026-04971,,,4,Mantenimiento Preventivo,0,,0,,999,Preasignada,3,No Urgente,NO,2026-03-04T20:14:08,2026-03-02,,2026-03-02,,,100,NOVA URBAN ESPAÑA SA,ESX11000003,130,ADM-CARMEN LOPEZ FERNANDEZ,2553,102 FUE-CC LA MARINA,"AVDA. MARITIMA S/N, 29640 FUENGIROLA, MÁLAGA",FUENGIROLA,29640,Málaga,189,ADM-ELENA ROMERO DIAZ,126,MAL-CARLOS NAVARRO RIOS,0,,MENSUAL,NO,SI,"MENSUAL - Es indispensable que siempre que se realice un mantenimiento, cumplir con todos los pasos obligatorios. 
Cada protocolo debe de estar cumplimentado al 100x100 acompañado de reporte fotográfico y su firma obligatoria sin excepción por parte del cliente.",,,"MENSUAL - Es indispensable que siempre que se realice un mantenimiento, cumplir con todos los pasos obligatorios. 
Cada protocolo debe de estar cumplimentado al 100x100 acompañado de reporte fotográfico y su firma obligatoria sin excepción por parte del cliente.",,NO,,NO,,02:00
13005,2026-04970,Nº Pedido90000005,,2,Accion Correctiva,0,,5,SAT MALAGA,5,Finalizado,1,Urgente,NO,2026-03-04T18:15:00,2026-03-04,18:15,2026-03-04,18:30,2026-03-05T16:34:23,438,BRISA SPORT SA,ESX11000002,130,ADM-CARMEN LOPEZ FERNANDEZ,2587,103 MAL-CC CENTRO,"C/ PRINCIPAL 3, 29004 MÁLAGA",MÁLAGA,29004,Málaga,126,MAL-CARLOS NAVARRO RIOS,135,MAL-DANIEL CASTAÑO RUEDA,,,,NO,NO,WR000900005 Ha bajado la temperatura y hace mucho frio en la tienda,,,WR000900005 Ha bajado la temperatura y hace mucho frio en la tienda,"04/03/2026
tras llamar a tienda y a ClimaControl para ajustar la temperatura de la tienda en un grado. observamos equipos de venta con temperatura enclavada y un alarma en energymon. Se vuelve a llamar a tienda, y por horario, para indicar que pasamos mañana por la mañana a revisar los equipos. Me indican, además, que se está mejor aún cuando no se hizo efectivo ningún cambio.

05/03/26
Al acudir a tienda se observa equipo de ventas parado desde el cuadro eléctrico por avería en presupuesto del tren de ventilación. El otro equipo de ventas funcionando con alarma, se hace un reinicio del mismo y queda funcionando. en tienda la temperatura está en 22-23 grados. 
",NO,,NO,,
13004,2026-04969,90000007,,2,Accion Correctiva,0,,7,SAT ALMERIA,555,No facturar,3,No Urgente,NO,2026-03-04T15:40:00,2026-03-04,16:30,2026-03-04,17:30,2026-03-04T15:58:27,464,COSTA JOVEN ESPAÑA S.A.,ESX11000004,0,,2403,601 ROQ-CC LEVANTE,C/ MEDITERRANEO S/N,ROQUETAS DE MAR,04740,Almería,161,OFT-DAVID SANCHEZ ORTEGA,162,ALM-ANDRES RIVAS TRUJILLO,,,,NO,NO,Nº Pedido 90000007 INC000090002 WR000900006 Hace frio en la tienda ,,,Nº Pedido 90000007 INC000090002 WR000900006 Hace frio en la tienda ,"se llama a tienda y se habla con encargada y me piden que suba un grado, se ve en energymon que las máquinas están a 21 grados y están en ventilación y se llama a climacontrol y se sube un grado de temperatura.",NO,,NO,,02:00
